id;place;rapport;date;M1;M2;M3;M4;allocation;Hippodrome;nbPartants;idHippodrome;nDistance;nAllocation;idFerrure;idJockey;nbPartants;rPoids;idOeillere;iCote
99230;0;0;17-01-2016;3m;Da;2a;4a;22000;Lyon-La Soie;14;Vincennes;2100;37000;0;3620;15;0;0;34
99231;1;1.6;17-01-2016;5a;14a;4a;6a;20000;Lyon-La Soie;18;Toulouse;2950;20000;0;51;17;0;0;43
99233;1;1.7;17-01-2016;1a;3a;2a;6a;16000;Lyon-La Soie;17;Lyon-Parilly;2850;16000;2;1250;18;0;0;9
56212;1;1.4;18-01-2016;1a;4a;9a;1a;54000;Vincennes;18;Vincennes;2700;66000;2;3291;14;0;0;2
56214;1;1.4;18-01-2016;2a;4a;2a;4a;37000;Vincennes;14;Vincennes;2700;36000;1;361;16;0;0;8
56215;0;0;18-01-2016;4a;Da;3a;1a;35000;Vincennes;15;Vincennes;2100;34000;0;52;16;0;0;2
56219;0;0;18-01-2016;Da;Da;2a;6a;18000;Toulouse;16;Vincennes;2700;48000;0;140;14;0;0;58
99248;1;1.7;18-01-2016;1a;Da;Da;10a;37000;Vincennes;13;Vincennes;2700;36000;1;52;16;0;0;2
99250;0;0;18-01-2016;Da;Da;Da;2a;36000;Vincennes;14;Vincennes;2200;36000;2;143;15;0;0;3
99263;0;0;18-01-2016;Da;10a;6a;1a;24000;Toulouse;15;Vincennes;2700;48000;0;53;17;0;0;35
99264;0;0;18-01-2016;1a;1a;1a;7a;30000;Toulouse;18;Angers;3125;25000;5;1033;18;0;0;5
99265;1;1.9;18-01-2016;2a;Dm;9a;9a;18000;Toulouse;14;Cabourg;2850;26000;0;3061;16;0;0;30
99266;0;0;18-01-2016;5a;5a;0a;1a;18000;Toulouse;14;Vincennes;2700;36000;2;53;15;0;0;19
99267;0;0;18-01-2016;5a;1a;2a;3a;18000;Toulouse;18;Grenade-sur-Garonne;2725;14000;2;421;13;0;0;
56232;1;1.8;19-01-2016;1a;9a;10a;Aa;6000;Mons;13;Mons;2300;6000;1;1321;11;0;0;17
56233;0;0;19-01-2016;10a;1a;7a;5a;6000;Mons;13;La Capelle;2700;20000;0;19;15;0;0;8
56234;0;0;19-01-2016;3a;3a;5a;2a;5040;Mons;11;Kuurne;2300;1200;0;1014;10;0;0;
56235;1;1.3;19-01-2016;Da;6a;2a;7a;6000;Son Pardo;13;Cagnes-sur-Mer;2150;60000;1;713;13;0;0;5
99282;0;0;19-01-2016;Da;1a;1a;2a;6000;Mons;14;Mons;2300;6000;0;9161;13;0;0;1
99284;1;1.7;19-01-2016;1a;Dm;4a;6a;6000;Mons;12;Mons;2300;6000;0;528;13;0;0;7
99286;1;1.5;19-01-2016;3a;Da;1a;1a;5400;Mons;11;Mons;2300;6000;2;534;11;0;0;4
56244;1;1.6;20-01-2016;0a;9a;1a;2a;18000;Marseille;16;Cagnes-sur-Mer;2150;23000;2;3;16;0;0;3
56245;0;0;20-01-2016;2a;1a;0a;1a;17000;Marseille;14;Cagnes-sur-Mer;2925;20000;1;504;14;0;0;8
56247;0;0;20-01-2016;2a;2a;4a;1a;6000;Marseille;16;Saint-Galmier;2600;6000;0;3463;14;0;0;3
99299;0;0;20-01-2016;5a;4a;9a;4a;17000;Agen;14;Argentan;2300;18000;0;2745;12;0;0;12
99300;0;0;20-01-2016;4a;Da;9a;6a;21000;Agen;16;Cagnes-sur-Mer;2925;26000;0;731;15;0;0;31
99301;0;0;20-01-2016;4a;1a;3a;Da;23000;Agen;15;Vincennes;2700;38000;1;238;15;0;0;19
99302;1;1.3;20-01-2016;1a;9a;2a;0a;35000;Agen;13;Argentan;2875;30000;1;890;18;0;0;3
99303;0;0;20-01-2016;Da;7Dista;1a;3a;23000;Agen;14;Vincennes;2700;46000;1;2;18;0;0;22
99304;0;0;20-01-2016;Da;2a;4a;2a;6000;Agen;16;Bordeaux - Le Bouscat;2650;16000;0;425;17;0;0;11
99306;1;1.5;20-01-2016;8a;8a;5a;Da;17000;Marseille-Vivaux;15;Cagnes-sur-Mer;2925;23000;0;736;18;0;0;8
99307;0;0;20-01-2016;1a;12a;8a;NULL;28000;Marseille-Vivaux;16;Marseille-Vivaux;2650;28000;2;3;14;0;0;2
99308;0;0;20-01-2016;2a;7a;7a;6a;17000;Marseille-Vivaux;15;Cagnes-sur-Mer;2150;23000;2;504;13;0;0;9
99309;1;1.2;20-01-2016;2a;3a;4a;3a;17000;Marseille-Vivaux;12;Cagnes-sur-Mer;2925;18000;0;3;13;0;0;3
56248;0;0;21-01-2016;1a;2a;4a;2a;60000;Vincennes;15;Vincennes;2850;85000;1;4;14;0;0;10
56249;0;0;21-01-2016;1a;6m;2a;1a;55000;Vincennes;18;Vincennes;2700;48000;2;153;14;0;0;3
99320;0;0;21-01-2016;4a;1a;4a;1a;36000;Vincennes;15;Vincennes;2700;36000;0;50;14;0;0;6
99321;0;0;21-01-2016;1a;Da;Da;2a;37000;Vincennes;15;Vincennes;2700;34000;0;4;12;0;0;2
